system_time,axis_1_position_mm
15:04:04.373403,0.000000
15:04:04.377323,-0.000200
15:04:04.380039,-0.000500
15:04:04.384515,-0.000900
15:04:04.388129,-0.001500
15:04:04.391845,-0.002200
15:04:04.411211,-0.003000
15:04:04.455520,-0.026500
15:04:04.504785,-0.071000
15:04:04.547541,-0.138600
15:04:04.592301,-0.226200
15:04:04.644834,-0.335800
15:04:04.690641,-0.467800
15:04:04.721844,-0.565600
15:04:04.767103,-0.711300
15:04:04.814705,-0.903100
15:04:04.845643,-1.103200
15:04:04.887988,-1.289100
15:04:04.934647,-1.524900
15:04:04.985759,-1.761200
15:04:05.029252,-1.993600
15:04:05.080132,-2.224900
15:04:05.110729,-2.378200
15:04:05.157418,-2.608800
15:04:05.189200,-2.799800
15:04:05.229955,-3.006100
15:04:05.274116,-3.238100
15:04:05.314377,-3.393500
15:04:05.345147,-3.552800
15:04:05.392568,-3.761900
15:04:05.423576,-3.967000
15:04:05.470374,-4.173900
15:04:05.502052,-4.382400
15:04:05.548673,-4.568000
15:04:05.611106,-4.799300
15:04:05.647060,-5.112000
15:04:05.687504,-5.264800
15:04:05.719265,-5.418900
15:04:05.751010,-5.616900
15:04:05.787687,-5.816000
15:04:05.829116,-5.970400
15:04:05.859931,-6.124200
15:04:05.895104,-6.357900
15:04:05.937837,-6.510600
15:04:05.968501,-6.704800
15:04:06.014885,-6.898700
15:04:06.045534,-7.051500
15:04:06.076268,-7.232700
15:04:06.119916,-7.437400
15:04:06.169592,-7.672700
15:04:06.200322,-7.866500
15:04:06.247075,-8.057900
15:04:06.277909,-8.214400
15:04:06.323709,-8.445200
15:04:06.371267,-8.680400
15:04:06.418382,-8.916700
15:04:06.464233,-9.146200
15:04:06.503168,-9.377000
15:04:06.541293,-9.533500
15:04:06.572985,-9.729700
15:04:06.620043,-9.924400
15:04:06.653754,-10.155700
15:04:06.697101,-10.311900
15:04:06.743440,-10.541400
15:04:06.774179,-10.695500
15:04:06.821825,-10.930700
15:04:06.853463,-11.089800
15:04:06.894849,-11.328400
15:04:06.932806,-11.488500
15:04:06.979914,-11.721600
15:04:07.011936,-11.878600
15:04:07.048595,-12.120300
15:04:07.090459,-12.274200
15:04:07.122126,-12.448800
15:04:07.162455,-12.668700
15:04:07.200892,-12.825400
15:04:07.246794,-13.057001
15:04:07.277140,-13.226401
15:04:07.321433,-13.439799
15:04:07.369913,-13.673199
15:04:07.417344,-13.908701
15:04:07.464624,-14.146300
15:04:07.510190,-14.377299
15:04:07.556229,-14.605800
15:04:07.602308,-14.836600
15:04:07.648019,-15.067799
15:04:07.694479,-15.294200
15:04:07.739808,-15.523700
15:04:07.787276,-15.758200
15:04:07.834572,-15.996500
15:04:07.865811,-16.151199
15:04:07.912066,-16.384300
15:04:07.958958,-16.618500
15:04:08.005851,-16.850900
15:04:08.051990,-17.084300
15:04:08.082765,-17.278500
15:04:08.129297,-17.472099
15:04:08.176034,-17.704800
15:04:08.222270,-17.936301
15:04:08.266614,-18.167700
15:04:08.315579,-18.399800
15:04:08.361720,-18.636099
15:04:08.407943,-18.864799
