system_time,axis_1_position_mm
19:51:51.884896,-0.000100
19:51:52.010931,-0.064200
19:51:52.138240,-0.277400
19:51:52.264069,-0.528900
19:51:52.406811,-0.811300
19:51:52.533144,-1.080800
19:51:52.675311,-1.352000
19:51:52.812781,-1.637800
19:51:52.946166,-1.917300
19:51:53.088907,-2.178500
19:51:53.232499,-2.466200
19:51:53.374825,-2.751000
19:51:53.517581,-3.035800
19:51:53.660355,-3.321600
19:51:53.802051,-3.605700
19:51:53.944317,-3.890000
19:51:54.086494,-4.173900
19:51:54.228622,-4.457600
19:51:54.370502,-4.750500
19:51:54.512476,-5.026300
19:51:54.654016,-5.309500
19:51:54.796114,-5.593600
19:51:54.938126,-5.877400
19:51:55.064214,-6.161100
19:51:55.206166,-6.433400
19:51:55.347356,-6.696300
19:51:55.489242,-6.980100
19:51:55.630521,-7.262900
19:51:55.771418,-7.544400
19:51:55.911971,-7.824100
19:51:56.035565,-8.088200
19:51:56.177095,-8.354800
19:51:56.318708,-8.638900
19:51:56.459408,-8.919900
19:51:56.599425,-9.199300
19:51:56.727958,-9.478600
19:51:56.879709,-9.759600
19:51:57.017252,-10.045300
19:51:57.162515,-10.325600
19:51:57.297448,-10.607500
19:51:57.440802,-10.884100
19:51:57.582340,-11.165300
19:51:57.706641,-11.419400
19:51:57.846754,-11.696000
19:51:57.971068,-11.952200
19:51:58.112096,-12.225000
19:51:58.249339,-12.500900
19:51:58.404856,-12.819701
19:51:58.546478,-13.093700
19:51:58.663047,-13.357001
19:51:58.812347,-13.625301
19:51:58.950883,-13.904201
19:51:59.075352,-14.157201
19:51:59.213888,-14.430200
19:51:59.353989,-14.708701
19:51:59.491568,-14.985699
19:51:59.630855,-15.264600
19:51:59.768873,-15.540100
19:51:59.908614,-15.819901
19:52:00.048152,-16.098700
19:52:00.186674,-16.373801
19:52:00.327911,-16.657401
19:52:00.468483,-16.936000
19:52:00.609693,-17.222800
19:52:00.750240,-17.500999
19:52:00.888670,-17.777600
19:52:01.029039,-18.058501
19:52:01.166979,-18.336200
19:52:01.293009,-18.616600
19:52:01.415316,-18.850400
19:52:01.538543,-19.084399
19:52:01.661218,-19.327699
19:52:01.799104,-19.600900
19:52:01.937498,-19.879401
19:52:02.078887,-20.160300
19:52:02.214893,-20.436099
19:52:02.344439,-20.689700
19:52:02.473032,-20.972701
19:52:02.624589,-21.251401
19:52:02.763602,-21.529700
19:52:02.890620,-21.807700
19:52:03.041602,-22.079401
19:52:03.183707,-22.367700
19:52:03.307083,-22.635500
19:52:03.431350,-22.864301
19:52:03.572513,-23.134900
19:52:03.711234,-23.420900
19:52:03.835287,-23.688600
19:52:03.974746,-23.952600
19:52:04.097903,-24.211400
19:52:04.220924,-24.463000
19:52:04.361455,-24.714000
19:52:04.496326,-25.002800
19:52:04.641253,-25.275000
19:52:04.778963,-25.562601
19:52:04.918637,-25.837701
19:52:05.042826,-26.094000
19:52:05.183706,-26.370200
19:52:05.308276,-26.621600
19:52:05.446853,-26.896201
19:52:05.576129,-27.176700
19:52:05.724591,-27.450400
19:52:05.863031,-27.728601
19:52:06.003593,-28.024899
19:52:06.141040,-28.281699
19:52:06.279660,-28.561600
19:52:06.419368,-28.839099
19:52:06.556996,-29.116299
19:52:06.695404,-29.393100
19:52:06.835668,-29.672900
19:52:06.974411,-29.922900
19:52:07.112001,-30.000000
system_time,axis_1_position_mm
19:52:07.373584,-29.970700
19:52:07.514345,-29.766901
19:52:07.654717,-29.486099
19:52:07.796298,-29.203201
19:52:07.936501,-28.921600
19:52:08.059858,-28.661099
19:52:08.199300,-28.394699
19:52:08.336840,-28.120700
19:52:08.474360,-27.854901
19:52:08.612215,-27.569101
19:52:08.752680,-27.289999
19:52:08.874978,-27.026300
19:52:09.014147,-26.764899
19:52:09.152950,-26.487701
19:52:09.292387,-26.210699
19:52:09.433144,-25.928299
19:52:09.572757,-25.648199
19:52:09.715365,-25.364700
19:52:09.887473,-25.018401
19:52:10.012215,-24.769000
19:52:10.154185,-24.487000
19:52:10.290011,-24.213499
19:52:10.418610,-23.940300
19:52:10.567297,-23.658900
19:52:10.706393,-23.382500
19:52:10.845127,-23.104900
19:52:10.982875,-22.827600
19:52:11.120618,-22.554201
19:52:11.261047,-22.271500
19:52:11.399955,-21.993600
19:52:11.541261,-21.711800
19:52:11.680928,-21.433600
19:52:11.821161,-21.153200
19:52:11.946719,-20.886400
19:52:12.085311,-20.623100
19:52:12.224125,-20.345100
19:52:12.360139,-20.065401
19:52:12.504171,-19.787199
19:52:12.644780,-19.504800
19:52:12.785012,-19.225500
19:52:12.921293,-18.950999
19:52:13.061053,-18.673801
19:52:13.200730,-18.394200
19:52:13.340028,-18.114400
19:52:13.478598,-17.838300
19:52:13.620291,-17.554900
19:52:13.760443,-17.274800
19:52:13.898480,-16.996600
19:52:14.037628,-16.719800
19:52:14.176498,-16.441000
19:52:14.316367,-16.160699
19:52:14.455052,-15.883501
19:52:14.641283,-15.511900
19:52:14.781559,-15.229700
19:52:14.921889,-14.950200
19:52:15.062026,-14.675999
19:52:15.199318,-14.394901
19:52:15.339456,-14.115601
19:52:15.476716,-13.839999
19:52:15.616569,-13.561200
19:52:15.758720,-13.278101
19:52:15.893339,-12.997099
19:52:16.037696,-12.719200
19:52:16.176326,-12.441100
19:52:16.301362,-12.184800
19:52:16.437197,-11.911500
19:52:16.581219,-11.632800
19:52:16.723076,-11.349400
19:52:16.861850,-11.071900
19:52:17.002070,-10.789500
19:52:17.142877,-10.509700
19:52:17.273151,-10.227300
19:52:17.426377,-9.942500
19:52:17.566196,-9.663200
19:52:17.706569,-9.382200
19:52:17.846030,-9.102900
19:52:17.971498,-8.846500
19:52:18.111105,-8.571400
19:52:18.250832,-8.292100
19:52:18.387437,-8.014700
19:52:18.530486,-7.734900
19:52:18.671776,-7.452100
19:52:18.796444,-7.187700
19:52:18.936210,-6.922200
19:52:19.074508,-6.646300
19:52:19.215164,-6.364100
19:52:19.348381,-6.086900
19:52:19.494236,-5.806900
19:52:19.633605,-5.526600
19:52:19.775409,-5.245000
19:52:19.914963,-4.963800
19:52:20.041506,-4.711500
19:52:20.172060,-4.433400
19:52:20.320401,-4.152700
19:52:20.459581,-3.876300
19:52:20.601049,-3.593700
19:52:20.770830,-3.252500
19:52:20.908099,-2.977200
19:52:21.047333,-2.699700
19:52:21.188353,-2.418800
19:52:21.327371,-2.140900
19:52:21.466668,-1.860300
19:52:21.592055,-1.601400
19:52:21.730781,-1.334300
19:52:21.868943,-1.057600
19:52:21.996966,-0.777700
19:52:22.146738,-0.501000
19:52:22.284598,-0.224400
19:52:22.409161,0.028900
19:52:22.546646,0.297900
19:52:22.683839,0.572400
19:52:22.822409,0.851800
19:52:22.946925,1.099100
19:52:23.068370,1.355700
19:52:23.208432,1.623100
19:52:23.333021,1.883700
19:52:23.458740,2.135400
19:52:23.583431,2.392000
19:52:23.722342,2.641900
19:52:23.861219,2.928500
19:52:23.990384,3.203200
19:52:24.120801,3.458000
19:52:24.259652,3.723800
19:52:24.400120,3.999600
19:52:24.532893,4.284900
19:52:24.678429,4.563500
19:52:24.819441,4.843300
19:52:24.943610,5.099600
19:52:25.071838,5.371900
19:52:25.207544,5.620700
19:52:25.330875,5.868900
19:52:25.468816,6.143900
19:52:25.608550,6.421600
19:52:25.748303,6.702900
19:52:25.887703,6.981600
19:52:26.023068,7.258500
19:52:26.168129,7.540500
19:52:26.293945,7.800500
19:52:26.417808,8.058800
19:52:26.557772,8.310300
19:52:26.697686,8.601900
19:52:26.838721,8.881500
19:52:26.973692,9.165800
19:52:27.105570,9.427100
19:52:27.228900,9.671300
19:52:27.365137,9.936600
19:52:27.506838,10.218000
19:52:27.646082,10.488400
19:52:27.787222,10.778700
19:52:27.922781,11.060000
19:52:28.050723,11.318100
19:52:28.302008,11.808100
19:52:28.430586,12.091500
19:52:28.552127,12.318300
19:52:28.690823,12.588100
19:52:28.831582,12.868900
19:52:28.970425,13.145100
19:52:29.108761,13.421899
19:52:29.246082,13.698700
19:52:29.385841,13.978000
19:52:29.526173,14.256799
19:52:29.664986,14.534500
19:52:29.805017,14.814600
19:52:29.946481,15.098900
19:52:30.087504,15.379401
19:52:30.225831,15.655701
19:52:30.366450,15.937601
19:52:30.506641,16.219299
19:52:30.645757,16.496899
19:52:30.785593,16.778101
19:52:30.926135,17.056700
19:52:31.066679,17.337900
19:52:31.193266,17.590700
19:52:31.323900,17.874300
19:52:31.472948,18.150101
19:52:31.614756,18.435699
19:52:31.754921,18.715700
19:52:31.893566,18.993401
19:52:32.032880,19.272301
19:52:32.172489,19.550101
19:52:32.315126,19.834700
19:52:32.455495,20.116400
19:52:32.595215,20.394600
19:52:32.731966,20.680400
19:52:32.863096,20.937601
19:52:32.987356,21.189400
19:52:33.128736,21.462100
19:52:33.268092,21.741800
19:52:33.408433,22.023199
19:52:33.549493,22.304601
19:52:33.689516,22.575600
19:52:33.829695,22.865700
19:52:33.969727,23.145700
19:52:34.108512,23.425800
19:52:34.249538,23.705400
19:52:34.390554,23.985600
19:52:34.528929,24.262300
19:52:34.668182,24.541000
19:52:34.802820,24.823900
19:52:34.947806,25.092500
19:52:35.080274,25.378900
19:52:35.229298,25.652399
19:52:35.363679,25.941599
19:52:35.491418,26.192899
19:52:35.643297,26.502802
19:52:35.771556,26.750101
19:52:35.900300,27.025101
19:52:36.029155,27.270599
19:52:36.158932,27.540799
19:52:36.283537,27.777802
19:52:36.424087,28.052399
19:52:36.555145,28.332800
19:52:36.684620,28.586401
19:52:36.816133,28.852499
19:52:36.953411,29.128201
19:52:37.099157,29.372699
19:52:37.236989,29.679999
19:52:37.374836,29.922400
system_time,axis_1_position_mm
19:52:37.820507,29.969199
19:52:37.945279,29.784500
19:52:38.070371,29.531400
19:52:38.211082,29.261801
19:52:38.350513,28.986401
19:52:38.488898,28.706799
19:52:38.613229,28.429300
19:52:38.745608,28.182300
19:52:38.873200,27.931201
19:52:39.002998,27.653201
19:52:39.140673,27.380600
19:52:39.273763,27.130301
19:52:39.403994,26.849899
19:52:39.532350,26.603500
19:52:39.659088,26.354700
19:52:39.791448,26.076999
19:52:39.943998,25.827899
19:52:40.067972,25.533800
19:52:40.192234,25.297301
19:52:40.318345,25.032899
19:52:40.442952,24.786099
19:52:40.565067,24.535400
19:52:40.705727,24.281599
19:52:40.838201,23.991299
19:52:40.967623,23.746800
19:52:41.093659,23.496600
19:52:41.223470,23.214799
19:52:41.358029,22.953200
19:52:41.500098,22.690900
19:52:41.640076,22.412601
19:52:41.781113,22.131400
19:52:41.923652,21.845799
19:52:42.063403,21.556200
19:52:42.201674,21.290500
19:52:42.343429,21.007401
19:52:42.479092,20.715800
19:52:42.609118,20.454201
19:52:42.734429,20.196800
19:52:42.876282,19.933099
19:52:43.015952,19.656500
19:52:43.154617,19.376500
19:52:43.291160,19.093300
19:52:43.433172,18.815601
19:52:43.572704,18.536600
19:52:43.713850,18.256300
19:52:43.854814,17.973399
19:52:43.997327,17.689101
19:52:44.135913,17.410001
19:52:44.267723,17.134399
19:52:44.415616,16.852499
19:52:44.555729,16.571100
19:52:44.695416,16.292999
19:52:44.835437,16.011099
19:52:44.973143,15.731500
19:52:45.115733,15.450500
19:52:45.255419,15.173000
19:52:45.394875,14.892000
19:52:45.535933,14.610201
19:52:45.674132,14.334100
19:52:45.812534,14.057100
19:52:45.951698,13.779401
19:52:46.092142,13.499300
19:52:46.225614,13.218700
19:52:46.372768,12.938499
19:52:46.509786,12.660500
19:52:46.653831,12.376200
19:52:46.791816,12.110500
19:52:46.915770,11.840300
19:52:47.047477,11.569000
19:52:47.197570,11.288900
19:52:47.321239,11.031200
19:52:47.447338,10.772100
19:52:47.572198,10.523400
19:52:47.694772,10.279200
19:52:47.819670,10.030000
19:52:47.945057,9.785200
19:52:48.070455,9.536700
19:52:48.209011,9.257900
19:52:48.352833,8.978100
19:52:48.495367,8.691300
19:52:48.631617,8.412400
19:52:48.774996,8.140700
19:52:48.905649,7.854700
19:52:49.070608,7.571200
19:52:49.204175,7.265600
19:52:49.344997,6.981700
19:52:49.478754,6.706500
19:52:49.614785,6.430400
19:52:49.927402,5.814900
19:52:50.057243,5.560500
19:52:50.186265,5.287300
19:52:50.324969,5.008000
19:52:50.467508,4.728900
19:52:50.607949,4.449900
19:52:50.741053,4.191600
19:52:50.866704,3.926100
19:52:50.994706,3.680600
19:52:51.134560,3.402900
19:52:51.275657,3.137500
